series_id	year	period	value
CES6500000001    	1952	M04	        2270	          
CES6500000001    	1952	M05	        2277	          
CES6500000001    	1952	M06	        2277	          
CES6500000001    	1952	M07	        2280	          
CES6500000001    	1952	M08	        2286	          
CES6500000001    	1952	M09	        2289	          
CES6500000001    	1952	M10	        2292	          
CES6500000001    	1952	M11	        2297	          
CES6500000001    	1952	M12	        2306	          
CES6500000001    	1953	M01	        2300	          
CES6500000001    	1953	M02	        2309	          
CES6500000001    	1953	M03	        2316	          
CES6500000001    	1953	M04	        2322	          
CES6500000001    	1953	M05	        2327	          
CES6500000001    	1953	M06	        2335	          
CES6500000001    	1953	M07	        2339	          
CES6500000001    	1953	M08	        2344	          
CES6500000001    	1953	M09	        2355	          
CES6500000001    	1953	M10	        2354	          
CES6500000001    	1953	M11	        2356	          
CES6500000001    	1953	M12	        2357	          
CES6500000001    	1954	M01	        2354	          
CES6500000001    	1954	M02	        2358	          
CES6500000001    	1954	M03	        2360	          
CES6500000001    	1954	M04	        2366	          
CES6500000001    	1954	M05	        2372	          
CES6500000001    	1954	M06	        2380	          
CES6500000001    	1954	M07	        2393	          
CES6500000001    	1954	M08	        2397	          
CES6500000001    	1954	M09	        2411	          
CES6500000001    	1954	M10	        2404	          
CES6500000001    	1954	M11	        2409	          
CES6500000001    	1954	M12	        2417	          
CES6500000001    	1955	M01	        2428	          
CES6500000001    	1955	M02	        2435	          
CES6500000001    	1955	M03	        2444	          
CES6500000001    	1955	M04	        2458	          
CES6500000001    	1955	M05	        2467	          
CES6500000001    	1955	M06	        2478	          
CES6500000001    	1955	M07	        2496	          
CES6500000001    	1955	M08	        2509	          
CES6500000001    	1955	M09	        2525	          
CES6500000001    	1955	M10	        2541	          
CES6500000001    	1955	M11	        2554	          
CES6500000001    	1955	M12	        2563	          
CES6500000001    	1956	M01	        2572	          
CES6500000001    	1956	M02	        2583	          
CES6500000001    	1956	M03	        2591	          
CES6500000001    	1956	M04	        2592	          
CES6500000001    	1956	M05	        2591	          
CES6500000001    	1956	M06	        2592	          
CES6500000001    	1956	M07	        2578	          
CES6500000001    	1956	M08	        2579	          
CES6500000001    	1956	M09	        2595	          
CES6500000001    	1956	M10	        2607	          
CES6500000001    	1956	M11	        2617	          
CES6500000001    	1956	M12	        2625	          
CES6500000001    	1957	M01	        2639	          
CES6500000001    	1957	M02	        2652	          
CES6500000001    	1957	M03	        2656	          
CES6500000001    	1957	M04	        2662	          
CES6500000001    	1957	M05	        2675	          
CES6500000001    	1957	M06	        2680	          
CES6500000001    	1957	M07	        2686	          
CES6500000001    	1957	M08	        2685	          
CES6500000001    	1957	M09	        2696	          
CES6500000001    	1957	M10	        2695	          
CES6500000001    	1957	M11	        2696	          
CES6500000001    	1957	M12	        2690	          
CES6500000001    	1958	M01	        2681	          
CES6500000001    	1958	M02	        2676	          
CES6500000001    	1958	M03	        2676	          
CES6500000001    	1958	M04	        2676	          
CES6500000001    	1958	M05	        2678	          
CES6500000001    	1958	M06	        2681	          
CES6500000001    	1958	M07	        2689	          
CES6500000001    	1958	M08	        2698	          
CES6500000001    	1958	M09	        2708	          
CES6500000001    	1958	M10	        2720	          
CES6500000001    	1958	M11	        2724	          
CES6500000001    	1958	M12	        2741	          
CES6500000001    	1959	M01	        2765	          
CES6500000001    	1959	M02	        2778	          
CES6500000001    	1959	M03	        2789	          
CES6500000001    	1959	M04	        2804	          
CES6500000001    	1959	M05	        2814	          
CES6500000001    	1959	M06	        2822	          
CES6500000001    	1959	M07	        2824	          
CES6500000001    	1959	M08	        2827	          
CES6500000001    	1959	M09	        2842	          
CES6500000001    	1959	M10	        2854	          
CES6500000001    	1959	M11	        2865	          
CES6500000001    	1959	M12	        2880	          
CES6500000001    	1960	M01	        2893	          
CES6500000001    	1960	M02	        2907	          
CES6500000001    	1960	M03	        2907	          
CES6500000001    	1960	M04	        2919	          
CES6500000001    	1960	M05	        2928	          
CES6500000001    	1960	M06	        2938	          
CES6500000001    	1960	M07	        2947	          
CES6500000001    	1960	M08	        2949	          
CES6500000001    	1960	M09	        2948	          
CES6500000001    	1960	M10	        2960	          
CES6500000001    	1960	M11	        2968	          
CES6500000001    	1960	M12	        2972	          
CES6500000001    	1961	M01	        2980	          
CES6500000001    	1961	M02	        2985	          
CES6500000001    	1961	M03	        2995	          
CES6500000001    	1961	M04	        2999	          
CES6500000001    	1961	M05	        3003	          
CES6500000001    	1961	M06	        3016	          
CES6500000001    	1961	M07	        3029	          
CES6500000001    	1961	M08	        3043	          
CES6500000001    	1961	M09	        3059	          
CES6500000001    	1961	M10	        3069	          
CES6500000001    	1961	M11	        3082	          
CES6500000001    	1961	M12	        3097	          
CES6500000001    	1962	M01	        3108	          
CES6500000001    	1962	M02	        3121	          
CES6500000001    	1962	M03	        3132	          
CES6500000001    	1962	M04	        3146	          
CES6500000001    	1962	M05	        3161	          
CES6500000001    	1962	M06	        3173	          
CES6500000001    	1962	M07	        3183	          
CES6500000001    	1962	M08	        3194	          
CES6500000001    	1962	M09	        3202	          
CES6500000001    	1962	M10	        3209	          
CES6500000001    	1962	M11	        3215	          
CES6500000001    	1962	M12	        3223	          
CES6500000001    	1963	M01	        3228	          
CES6500000001    	1963	M02	        3234	          
CES6500000001    	1963	M03	        3249	          
CES6500000001    	1963	M04	        3259	          
CES6500000001    	1963	M05	        3266	          
CES6500000001    	1963	M06	        3280	          
CES6500000001    	1963	M07	        3289	          
CES6500000001    	1963	M08	        3303	          
CES6500000001    	1963	M09	        3315	          
CES6500000001    	1963	M10	        3337	          
CES6500000001    	1963	M11	        3342	          
CES6500000001    	1963	M12	        3352	          
CES6500000001    	1964	M01	        3371	          
CES6500000001    	1964	M02	        3384	          
CES6500000001    	1964	M03	        3388	          
CES6500000001    	1964	M04	        3406	          
CES6500000001    	1964	M05	        3421	          
CES6500000001    	1964	M06	        3433	          
CES6500000001    	1964	M07	        3450	          
CES6500000001    	1964	M08	        3457	          
CES6500000001    	1964	M09	        3477	          
CES6500000001    	1964	M10	        3484	          
CES6500000001    	1964	M11	        3490	          
CES6500000001    	1964	M12	        3499	          
CES6500000001    	1965	M01	        3511	          
CES6500000001    	1965	M02	        3524	          
CES6500000001    	1965	M03	        3536	          
CES6500000001    	1965	M04	        3554	          
